GEOID,County name,Percent of population that is foreign-born,Percent of adults (25 or older) who are not high-school graduates,Percent of population with income below 150 percent of poverty level,Percent of households receiving public assistance income,Percent of persons (ages 16 or older) unemployed,Percent limited-English households,Percent of persons who moved from outside county in past year,Total population,Hispanic_Latino,White,Black or African American,AIAN,Asian,NHPI,Some other race,Two or more races,Tract name,Incorporated (%),Unincorporated (%),Size (sq. mi.),Pop density,AD_overlapped,SD_overlapped,CD_overlapped,Census 2020 Region
06001451104,Alameda,26.5,3.6,4.7,3.2,3.2,1.2,11.1,7280,16,53.4,1.4,0.3,25,0.9,0,3,Census Tract 4511.04,Livermore (79.7),20.3,190,37,AD-16,SD-7,CD-15,3
06001451201,Alameda,15.3,4.7,11.6,0,1.7,2,4.6,7683,18.7,58.5,2.5,0.5,14.5,0,0,5.3,Census Tract 4512.01,Livermore (100.0),0,1.4,5142.2,AD-16,SD-7,CD-15,3
06001451202,Alameda,23,4.3,10.4,1.4,3.9,5,7.5,5230,15.4,50.5,0.4,0,27.1,0.5,0,6,Census Tract 4512.02,Livermore (96.0),4,17.7,326.8,AD-16,SD-7,CD-15,3
06001451300,Alameda,12.1,6,5.1,1.2,3.4,0,4.6,7013,30,54.1,1.2,0,8.4,0,0,6.2,Census Tract 4513,Livermore (100.0),0,4.6,1397.4,AD-16,SD-7,CD-15,3
06001451401,Alameda,19.9,12.7,7.9,1.9,3,8.2,4.9,6336,32.3,47,5.4,0,9.9,0,0,5.4,Census Tract 4514.01,Livermore (99.8),0.2,1.8,3383.8,AD-16,SD-7,CD-15,3
06001451403,Alameda,14.4,7.4,5.7,0.5,4,3.7,4.8,2367,23.5,58.3,0.8,0,10,0,1.4,6,Census Tract 4514.03,Livermore (100.0),0,0.3,8285.7,AD-16,SD-7,CD-15,3
06001451404,Alameda,23.6,19.7,9.8,3,3.8,7.1,2.4,7261,51.6,40,1.6,0,4.2,0,0.5,2.1,Census Tract 4514.04,Livermore (100.0),0,0.6,10225.9,AD-16,SD-7,CD-15,3
06001451501,Alameda,17,4.5,9.4,2.7,2.3,6.4,2.4,4499,15.1,66.2,0.8,0.1,8.5,1,0.2,8.1,Census Tract 4515.01,Livermore (93.9),6.1,2,2522.8,AD-16,SD-7,CD-15,3
06001451503,Alameda,12.1,3.9,11.7,0.6,1.8,1.3,6.5,6442,14.2,64.6,2.5,0.1,13.9,0.5,0,4.3,Census Tract 4515.03,Livermore (100.0),0,1,6314.9,AD-16,SD-7,CD-15,3
06001451504,Alameda,22.1,0.5,5,1.6,2.4,5.1,1.5,1630,22.6,49.3,1,0,23.7,0,0,3.3,Census Tract 4515.04,Livermore (100.0),0,1.2,1321.6,AD-16,SD-7,CD-15,3
06001451505,Alameda,15,5,1.4,1.5,3.4,0,1,3608,14.7,67.5,0.7,0.3,14.5,0,0,2.3,Census Tract 4515.05,Livermore (100.0),0,0.5,5991,AD-16,SD-7,CD-15,3
06001451506,Alameda,19.6,10.5,4.2,2.6,0.7,9.2,6.4,3542,43.7,42.3,3.8,0,8.4,0,0.5,1.4,Census Tract 4515.06,Livermore (100.0),0,0.3,9503.3,AD-16,SD-7,CD-15,3
06001451601,Alameda,10.4,3.7,9.8,0,3.9,0.5,2.7,5730,12.3,75.3,0.1,0.1,9.7,0.4,0.2,2,Census Tract 4516.01,Livermore (98.6),1.4,1.5,3291.8,AD-16,SD-7,CD-15,3
06001451602,Alameda,12.3,6.8,3,2.3,2.6,1.2,6.2,7329,15.6,68.1,2.2,0,7.9,0.2,0,6.1,Census Tract 4516.02,Livermore (100.0),0,1.2,5699.2,AD-16,SD-7,CD-15,3
06001451701,Alameda,6.9,1.8,5,1.3,3,0,0.3,3091,14.5,65.4,2.4,0.2,13.6,0.7,0,3.2,Census Tract 4517.01,Livermore (100.0),0,0.5,6926.5,AD-16,SD-7,CD-15,3
06001451703,Alameda,18.3,2.1,4.7,1.7,1.2,2.1,5,4150,16.8,60.9,0.8,0.3,18.5,0,0,2.8,Census Tract 4517.03,Livermore (100.0),0,0.7,5949.8,AD-16,SD-7,CD-15,3
06001451704,Alameda,14.7,4.7,6.7,2.6,7.5,3.8,2.8,4692,12.2,72.5,0,0,9.1,2.4,0,3.8,Census Tract 4517.04,Livermore (100.0),0,0.8,5904.9,AD-16,SD-7,CD-15,3
06001981900,Alameda,0,0,0,0,0,0,0,47,12.8,87.2,0,0,0,0,0,0,Census Tract 9819,Oakland (100.0),0,1.4,33.9,AD-18,SD-9,CD-13,3
06001982000,Alameda,46.2,0,0,0,0,22.2,23.1,26,26.9,46.2,19.2,7.7,0,0,0,0,Census Tract 9820,Oakland (100.0),0,0.5,420.3,AD-18,SD-9,CD-13,3
06001982100,Alameda,49.6,0,47.8,0,4.5,0,59.1,1002,17.2,34.1,5.3,0,41.6,0,0,1.8,Census Tract 9821,Berkeley (100.0),0,0.6,1594.2,AD-15,SD-9,CD-13,3
06001983200,Alameda,24.7,3.7,10.1,0,1.5,0,20.6,587,5.6,58.3,11.4,1,19.4,0.3,0.9,3.1,Census Tract 9832,Oakland (100.0),0,0.2,4367.8,AD-18,SD-9,CD-13,3
06001990000,Alameda,,,,,,,,0,,,,,,,,,Census Tract 9900,none,0,0,,"AD-15, AD-18, AD-20, AD-25","SD-10, SD-9","CD-13, CD-15, CD-17",3
06003010000,Alpine,6.3,4.7,19.6,3.5,10,1,10,1159,15.8,51.3,0.9,28.7,0.5,0,0,2.8,Census Tract 100,none,100,738.3,1.6,AD-5,SD-1,CD-4,4
06005000101,Amador,4,5.5,7,0.9,8,0.8,5.1,3533,6,82.6,0.2,0.5,2.6,0.3,0,7.8,Census Tract 1.01,none,100,24.3,164.8,AD-5,SD-8,CD-4,4
06005000102,Amador,4,6.9,38.6,8.2,13.6,0,7.1,1713,5.8,90.4,0.3,0.9,1.5,0,0,1.1,Census Tract 1.02,none,100,176.1,10.7,AD-5,SD-8,CD-4,4
06005000201,Amador,4.8,8.4,13.9,1.6,4.7,1.3,1.6,2438,10.3,82.7,0.3,0.2,0.5,0,0.2,5.8,Census Tract 2.01,"Amador City (7.3), Plymouth (16.0), Sutter Creek (9.7)",67,71.3,44.3,AD-5,SD-8,CD-4,4
06005000202,Amador,1.4,10.1,14.6,0,9.3,1.9,0,1623,6.8,85.3,1.8,1.9,0,0,0,4.1,Census Tract 2.02,Plymouth (0.4),99.6,53.5,33,AD-5,SD-8,CD-4,4
06005000301,Amador,13.7,27.9,12.5,2.9,9.4,7.7,20.7,5066,33.5,44.4,15.4,1.8,0.9,0,0.1,3.8,Census Tract 3.01,"Ione (9.0), Plymouth (30.7)",60.3,75.5,75.8,AD-5,SD-8,CD-4,4
06005000303,Amador,4.2,3.8,11,0.6,1.6,2.8,4.2,8605,14.4,81.7,0,0,0.1,0.1,0,3.6,Census Tract 3.03,"Ione (71.9), Sutter Creek (19.9)",8.2,52.6,120.2,AD-5,SD-8,CD-4,4
06005000304,Amador,6.7,6.1,16.7,0.8,4.4,0,10.2,4536,7.7,83.7,0.2,0.2,0.5,0,3.5,4.3,Census Tract 3.04,Jackson (22.7),77.3,54.7,78.5,AD-5,SD-8,CD-4,4
06005000401,Amador,5.7,5.4,17.9,5.1,12.7,0,6.2,4314,3.8,85.5,0,0,1,0,1.8,8,Census Tract 4.01,"Jackson (35.5), Sutter Creek (26.8)",37.6,16.4,314.5,AD-5,SD-8,CD-4,4
06005000402,Amador,2.1,7.4,22.1,2.5,6.3,0,6.7,4358,22.1,72.9,0.6,0.7,1.6,0,0,2.1,Census Tract 4.02,Jackson (3.8),96.2,28.3,174.2,AD-5,SD-8,CD-4,4
06005000500,Amador,8.7,4.3,11.6,1.5,1.9,3.2,5.6,2837,17.9,75.9,0.1,0,1,0.4,0,4.7,Census Tract 5,Jackson (62.9),37.1,41.9,77.2,AD-5,SD-8,CD-4,4
06007000102,Butte,10,7.1,33.8,8.8,6.5,7,3.1,4016,13.3,69.4,0.4,0.2,11,0,0.2,5.6,Census Tract 1.02,Chico (100.0),0,1,4179.8,AD-3,SD-4,CD-1,1
06007000103,Butte,7.8,5,18.3,3.8,3.9,0.9,4.1,5567,15.7,75.4,1.6,0.1,2.9,0,0,4.3,Census Tract 1.03,Chico (100.0),0,1.2,5073.7,AD-3,SD-4,CD-1,1
06007000104,Butte,10.7,10.9,20.7,2.5,5.8,4.6,6.8,5774,19.4,70.2,2.9,0,5.4,0.1,0,2,Census Tract 1.04,Chico (100.0),0,1,6261.6,AD-3,SD-4,CD-1,1
06007000201,Butte,6.3,3.9,21.4,2,5.9,1.3,6.1,3843,21.5,69.6,0.5,0.4,4.8,0,0,3.3,Census Tract 2.01,Chico (100.0),0,1.3,3382.8,AD-3,SD-4,CD-1,1
06007000202,Butte,6.6,9.9,32,5,7.1,3.8,5.2,3817,22.7,63.4,1.9,0.5,6.3,0,0,5.2,Census Tract 2.02,Chico (100.0),0,0.7,6142.2,AD-3,SD-4,CD-1,1
06007000300,Butte,8.8,10.4,39.5,8.7,6.8,3.2,8.4,4618,20,64.3,2.9,2.1,5.4,0,0.1,5.1,Census Tract 3,Chico (100.0),0,1,4811.5,AD-3,SD-4,CD-1,1
06007000401,Butte,11.4,3.9,14.6,6.3,5.2,0.9,4.7,4883,23.5,62.5,0.1,0,7.5,2.9,0,3.4,Census Tract 4.01,Chico (97.6),2.4,1.7,2967.3,AD-3,SD-4,CD-1,1
06007000403,Butte,13.4,15.4,21.2,5.7,7.7,4.5,5.1,3324,22.8,66.8,2.4,0.5,2.1,0,0,5.3,Census Tract 4.03,Chico (83.6),16.4,0.7,5010.4,AD-3,SD-4,CD-1,1
06007000404,Butte,5,3.1,3.3,1,0.9,0.5,2.6,3931,8.1,86.1,0.7,0,2.4,0,2.1,0.6,Census Tract 4.04,Chico (76.2),23.8,1.7,2356.4,AD-3,SD-4,CD-1,1
06007000501,Butte,11.7,3.7,33,0,5.9,1.1,15.3,4564,20.3,65.5,0.8,0,5.1,0,0.6,7.8,Census Tract 5.01,Chico (62.7),37.3,2.1,2346.4,AD-3,SD-4,CD-1,1
06007000502,Butte,9.8,14.2,65.6,7.3,10.9,3.4,12.5,4895,27.6,50.3,9,1.1,11,0,0,1.1,Census Tract 5.02,Chico (85.5),14.5,0.4,11483.2,AD-3,SD-4,CD-1,1
06007000601,Butte,5.1,3.7,17.8,2.2,6.8,0,2.1,3599,11,78,0,0,4.7,0.4,0.3,5.6,Census Tract 6.01,Chico (100.0),0,0.7,4850.6,AD-3,SD-4,CD-1,1
06007000603,Butte,7.1,6.7,56.8,5.5,11,0.8,29.6,3641,17,68.1,2.8,0,4.7,0,0,7.4,Census Tract 6.03,Chico (100.0),0,0.4,8064.9,AD-3,SD-4,CD-1,1
06007000604,Butte,6.3,6.6,63,6.6,9.7,4.1,18.7,4498,21.2,61.5,5.7,0,7.5,0,0,4.1,Census Tract 6.04,Chico (100.0),0,0.4,11204.6,AD-3,SD-4,CD-1,1
06007000700,Butte,2,1,19.6,0.5,3.9,0,3,4714,14.4,81.8,0.2,0,0.1,0,0,3.5,Census Tract 7,Chico (100.0),0,1.2,4171.5,AD-3,SD-4,CD-1,1
06007000800,Butte,2.6,1.6,13.7,3.8,4.4,0.5,3.4,6097,6,87.9,0.4,0,0.6,0,0,5.1,Census Tract 8,Chico (100.0),0,1.5,3670.7,AD-3,SD-4,CD-1,1
06007000901,Butte,10.3,4.3,11.7,1.9,3.9,0.7,1.5,3032,14.9,65.9,1.4,0,7.2,0.1,0,10.6,Census Tract 9.01,Chico (85.0),15,6.3,441.3,AD-3,SD-4,CD-1,1
06007000903,Butte,9.2,11,26.3,2.7,7,1.7,6.4,6531,24.1,62.6,4.5,1.1,5.3,0,0,2.3,Census Tract 9.03,Chico (99.8),0.2,2.3,3056.1,AD-3,SD-4,CD-1,1
06007000904,Butte,4.1,5.4,24.6,1.8,9.4,2.9,4.8,7076,14.6,81.2,0.6,0,0.7,1.9,0,1.1,Census Tract 9.04,Chico (95.1),4.9,1.7,3756.4,AD-3,SD-4,CD-1,1
06007001000,Butte,4.2,6.4,52.8,0,15.6,3.2,21.1,4356,14.9,75.3,3.6,1.2,0.9,0.6,0,3.4,Census Tract 10,Chico (100.0),0,1,5217.4,AD-3,SD-4,CD-1,1
06007001100,Butte,10.5,14.1,47.2,4.3,8,1.5,18.2,4272,24.9,64.9,0,0.3,4.4,0.2,0,5.4,Census Tract 11,Chico (69.8),30.2,2.6,1776.3,AD-3,SD-4,CD-1,1
06007001200,Butte,6.6,9.6,57.5,3.3,9.5,0,18.3,4034,25.4,68.5,0.2,0,2,0,0,3.9,Census Tract 12,Chico (94.0),6,3.4,1041.1,AD-3,SD-4,CD-1,1
06007001300,Butte,14.7,20.3,42,8.3,12.3,1.4,5.6,3563,23.5,57.1,4.3,2.2,7.9,0,0.3,4.8,Census Tract 13,Chico (65.0),35,1.5,2640.7,AD-3,SD-4,CD-1,1
06007001400,Butte,6,8,10.7,1.4,2.7,1.8,3.6,6182,14.3,82.6,0,0,2.1,0.2,0,0.7,Census Tract 14,Chico (0.3),99.7,122.5,50.1,AD-3,SD-4,CD-1,1
06007001500,Butte,3.6,6.4,12,5,7.2,0,1.9,6073,7.9,81.7,3.4,0,4,0,0.2,2.8,Census Tract 15,none,100,135.4,40.7,AD-3,SD-4,CD-1,1
06007001601,Butte,10.5,22.2,13.2,0,7.3,0,6.7,1699,11.1,78.1,0,0,0,0,0,10.8,Census Tract 16.01,none,100,101.6,16.8,"AD-1, AD-3",SD-4,CD-1,1
06007001602,Butte,7.6,6.2,10.7,0.9,0,1.5,1.1,3310,7.5,87.4,0.9,0,2.6,0,0,1.5,Census Tract 16.02,Chico (50.6),49.4,114,32.8,"AD-1, AD-3",SD-4,CD-1,1
06007001702,Butte,1.7,5.6,17.1,4.6,5.4,0,5,5101,7.2,82.7,0,1.5,0.9,0,0,7.8,Census Tract 17.02,none,100,13.3,268.7,"AD-1, AD-3",SD-4,CD-1,1
06007001703,Butte,1.6,6.4,22,0,7,1.3,3.7,2712,7.6,89.1,0,0,0.5,0,0,2.9,Census Tract 17.03,none,100,1.5,1181,AD-1,SD-4,CD-1,1
06007001704,Butte,2.7,5.7,33.9,6.5,11.7,0.4,5.5,3967,16.7,75.9,0,0,0,0,0,7.3,Census Tract 17.04,none,100,125.7,26,AD-1,SD-4,CD-1,1
06007001800,Butte,1.6,10.1,23.3,0,9.4,1.1,2.5,3900,5.5,87.1,1.2,0.1,1,0,0,5.2,Census Tract 18,Paradise (85.1),14.9,4.7,179.6,"AD-1, AD-3",SD-4,CD-1,1
06007001900,Butte,2.1,8.8,37,0.5,5.3,2,22,2070,0.1,88.7,1.3,2.8,1.3,0,0,5.8,Census Tract 19,Paradise (97.6),2.4,3.4,199.5,"AD-1, AD-3",SD-4,CD-1,1
06007002000,Butte,2.1,2.3,15.2,0,10.2,0,4,3939,5.4,90.2,0.1,2.6,0,0,0,1.7,Census Tract 20,Paradise (100.0),0,2.8,320.1,AD-3,SD-4,CD-1,1
06007002100,Butte,5.5,8,31.9,4,6.8,5.5,6.4,3078,9.1,79.4,0.1,0,1,0,0.8,9.5,Census Tract 21,Paradise (99.8),0.2,3.6,259.9,AD-3,SD-4,CD-1,1
06007002200,Butte,0.7,5,23.6,2.9,8.8,0,2.7,4331,6.7,86.2,0,0.4,1.3,0.5,0,4.8,Census Tract 22,Paradise (57.2),42.8,52.8,34,AD-3,SD-4,CD-1,1
06007002300,Butte,8.7,9.5,27.9,1.7,2.5,1.2,9.8,3741,18,77.9,0.1,0,0.3,0,0,3.6,Census Tract 23,Paradise (38.3),61.7,29.2,63.4,"AD-1, AD-3",SD-4,CD-1,1
06007002401,Butte,5.6,7.1,29.2,2.9,12.4,0,10.2,1115,14.3,73.7,0,5.7,2.2,0,0,4.1,Census Tract 24.01,none,100,196,7.2,"AD-1, AD-3",SD-4,CD-1,1
06007002402,Butte,4,13.8,35,3,16.9,2.7,10.7,3077,9,79.7,0.3,1.5,0.9,0.4,0,8.2,Census Tract 24.02,none,100,231.2,15.4,"AD-1, AD-3",SD-4,CD-1,1
06007002500,Butte,13.4,18.5,50.5,12.7,6.6,9.3,6.3,5896,16.2,54.5,5.2,1.7,18.6,0,0,3.8,Census Tract 25,Oroville (82.2),17.8,49.9,100.3,"AD-1, AD-3",SD-4,CD-1,1
06007002601,Butte,3.7,6.1,16.6,0,2.5,2.9,2.9,2439,9.5,78.9,0.9,0.3,1.2,0,1.5,7.7,Census Tract 26.01,none,100,7.8,318.4,AD-3,SD-4,CD-1,1
06007002602,Butte,3.5,9.2,18.4,2.4,5,0,1.2,3961,9.3,83.4,0.8,1.3,1.4,0.3,0,3.5,Census Tract 26.02,Oroville (0.1),99.9,7,565,"AD-1, AD-3",SD-4,CD-1,1
06007002700,Butte,1.5,11.1,31.6,3.9,5,0,4.3,5880,11.3,81.6,0.3,0.4,1.5,0,0,4.8,Census Tract 27,Oroville (88.9),11.1,5,1160.4,AD-3,SD-4,CD-1,1
06007002800,Butte,2.9,9.2,50.7,13.5,11.4,1.3,7.7,3978,13.3,63.8,9.8,0.4,5.7,0.3,1,5.7,Census Tract 28,Oroville (100.0),0,1.6,2878.6,AD-3,SD-4,CD-1,1
06007002900,Butte,8.5,14.9,29.8,9.9,10.4,3.5,2.5,2940,9.4,56.6,2.1,0.1,23.9,0.8,0,7.1,Census Tract 29,Oroville (10.5),89.5,2.5,1338.7,AD-3,SD-4,CD-1,1
06007003001,Butte,9.4,24.6,54.4,9.7,9.4,2.9,3.3,2467,14.9,41.1,6,4.3,19.2,0,0.4,14.1,Census Tract 30.01,Oroville (90.9),9.1,0.9,3524.9,AD-3,SD-4,CD-1,1
06007003002,Butte,11.2,19.9,39.7,7.1,6.5,2.7,5.2,2766,24.5,53,1.2,2.5,7.6,0.4,0.1,10.7,Census Tract 30.02,Oroville (19.3),80.7,6.4,544.4,AD-3,SD-4,CD-1,1
06007003100,Butte,4.2,8.9,13.8,4.6,8.2,1.4,5.7,4719,10,76.1,0.1,1.4,9.9,0.3,0,2.1,Census Tract 31,Oroville (22.5),77.5,4.8,961.4,AD-3,SD-4,CD-1,1
06007003200,Butte,12.3,29.5,41.6,7.7,10.1,7.5,1.8,3989,33.2,52.8,0.6,4.8,1.7,0,0,6.9,Census Tract 32,Oroville (0.1),99.9,15.2,286.4,AD-3,SD-4,CD-1,1
06007003300,Butte,7.9,12.6,22.8,6.2,7.8,0,2.9,4184,11.9,66.4,3.9,5.1,4.6,0.6,0.2,7.3,Census Tract 33,none,100,119.1,42.6,AD-3,SD-4,CD-1,1
06007003400,Butte,20.9,24.3,18.9,4,6.7,3,1,3585,45.8,49.8,0,0.2,0.5,0,0.2,3.4,Census Tract 34,Gridley (17.6),82.4,15.2,192.7,AD-3,SD-4,CD-1,1
06007003501,Butte,18,18.5,39.1,2.6,9.6,9.2,5.1,4356,26.3,67.8,0,0,1.3,0,0,4.6,Census Tract 35.01,Gridley (81.8),18.2,11.5,323,AD-3,SD-4,CD-1,1
06007003502,Butte,22.1,24.1,26.2,3.4,7.3,6.2,3.4,4193,48.5,51,0.2,0.1,0.1,0.2,0,0,Census Tract 35.02,Gridley (75.0),25,47.2,107.3,AD-3,SD-4,CD-1,1
06007003600,Butte,8.3,17.1,16.6,3.6,10,4.3,2.6,4218,28.4,63.1,0,0.6,1.3,0,0.6,5.9,Census Tract 36,Biggs (51.4),48.6,127.7,27.9,AD-3,SD-4,CD-1,1
06007003700,Butte,12.8,27.6,47.5,10,10.6,7.3,3.7,4833,15.6,57,1,0.8,21.9,0,0.5,3.1,Census Tract 37,Oroville (14.0),86,41.2,127.4,AD-3,SD-4,CD-1,1
06009000121,Calaveras,2.4,11.4,13.1,0.3,4.9,0.8,5.4,4500,10,82.2,0,1.8,0.5,0,0.6,4.9,Census Tract 1.21,Angels (84.4),15.6,59.8,72.8,AD-5,SD-8,CD-4,4
06009000122,Calaveras,3.9,6.8,10.7,4.7,6.5,1.2,8,3216,8.3,88.1,1.1,0,0,0.2,0,2.4,Census Tract 1.22,Angels (0.0),100,62.6,61.3,AD-5,SD-8,CD-4,4
06009000123,Calaveras,6.3,19.6,21.5,3.1,3.4,0,7.5,2680,17.6,72.2,5.6,0,3.1,0,0,1.5,Census Tract 1.23,none,100,9.9,272.5,AD-5,SD-8,CD-4,4
06009000124,Calaveras,1.3,8.4,4.8,9.8,12.7,0,4.4,2019,10.9,86,0,0,0,0,0,3.1,Census Tract 1.24,Angels (2.4),97.6,156.4,14.8,AD-5,SD-8,CD-4,4
06009000220,Calaveras,5,12.3,22.5,5.4,3.2,1,6,6471,14,76.4,0.1,0.5,5,0,0,4,Census Tract 2.20,none,100,99.2,59,AD-5,SD-8,CD-4,4
06009000221,Calaveras,2.7,11.4,16,1,4,0,2.6,6592,13.5,82.5,0,0,0.4,0,0,3.5,Census Tract 2.21,none,100,57.6,98.8,AD-5,SD-8,CD-4,4
06009000222,Calaveras,2.1,9.3,8.3,0.9,5.1,0,3.4,4528,18.1,73.6,1.4,0.3,2.1,0,0,4.5,Census Tract 2.22,none,100,37,118.8,AD-5,SD-8,CD-4,4
06009000301,Calaveras,8.4,11.8,37.9,8.7,1.2,0,7.3,4941,12.3,76.1,3,0,2.4,0,0,6.2,Census Tract 3.01,none,100,74.2,56.4,AD-5,SD-8,CD-4,4
06009000302,Calaveras,4.9,9.1,31.3,0,1,0,8.7,3131,9.4,82.7,1.2,0.7,0.3,0,0,5.7,Census Tract 3.02,none,100,102.3,21.2,AD-5,SD-8,CD-4,4
06009000400,Calaveras,5.5,8.8,33.4,3.8,12,1.1,4.5,3205,12.4,77.5,0.1,3.9,3.2,0.2,0.6,2.1,Census Tract 4,none,100,179.1,21.6,AD-5,SD-8,CD-4,4
06009000501,Calaveras,5.4,3.1,19.1,1.5,7.2,0,10.8,2623,10.1,86.9,0,0,1.4,0,0,1.6,Census Tract 5.01,none,100,24.6,130.4,AD-5,SD-8,CD-4,4
06009000504,Calaveras,5.3,11.1,25.7,1.1,7.8,0,6.5,509,1.4,92.9,1.4,0,1.4,1.2,0,1.8,Census Tract 5.04,none,100,139.2,5.4,AD-5,SD-8,CD-4,4
06009000505,Calaveras,4.2,5.6,9.2,1.6,9.7,0,7.2,993,2.3,94.5,0,0,3.2,0,0,0,Census Tract 5.05,none,100,3.2,382.6,AD-5,SD-8,CD-4,4
06009000506,Calaveras,0,5.5,6.7,3.9,9.6,0,13.1,420,20,78.3,0,0,1.7,0,0,0,Census Tract 5.06,none,100,14.9,51,AD-5,SD-8,CD-4,4
06011000100,Colusa,33.9,33.2,21,6.2,5,13.8,7.1,5537,62.1,32.8,0,0.2,0,0,0,4.9,Census Tract 1,none,100,218.5,24.7,AD-4,SD-4,CD-3,1
06011000200,Colusa,22.2,18.4,21.6,8.2,2.9,9.2,6.1,4914,46.6,47.5,2.2,1.5,0.7,0.2,0,1.4,Census Tract 2,Colusa (71.9),28.1,83.4,61.8,"AD-3, AD-4",SD-4,CD-3,1
06011000301,Colusa,31.8,30.8,26.1,3.2,2.8,8,1.5,3600,78,19.9,0,0,1.5,0.6,0,0,Census Tract 3.01,Williams (91.4),8.6,40.7,101.7,"AD-3, AD-4",SD-4,CD-3,1
06011000302,Colusa,32.7,35,16,0.1,6.2,5.1,0.7,2454,74.9,18.8,0.4,2.2,1.1,0,2.2,0.4,Census Tract 3.02,Williams (64.4),35.6,327.1,6.7,"AD-3, AD-4",SD-4,CD-3,1
06011000400,Colusa,22.3,29,41.6,5.6,6.3,14.7,6.9,2352,48.9,45.7,2.1,0.5,0.4,0,0,2.4,Census Tract 4,none,100,415.3,5.5,AD-3,SD-4,CD-3,1
06011000500,Colusa,20,19.1,17.6,4.2,3.1,4,3.9,2634,50.1,40.9,3.6,0,1.4,0,0,3.9,Census Tract 5,Colusa (92.0),8,65.7,40.8,AD-3,SD-4,CD-3,1
06013301000,Contra Costa,9,11.5,17.2,13.1,6.7,1.6,7.3,5265,24.9,58.2,9.1,0,4,0,2,1.8,Census Tract 3010,Oakley (27.8),72.2,35.2,156.7,AD-11,SD-7,CD-9,3
06013302005,Contra Costa,17.3,14.6,23.9,3.7,9.1,4.9,3.2,7454,26.7,49.7,10.3,0.7,3.5,4.2,0,4.9,Census Tract 3020.05,Oakley (100.0),0,1.4,5165.6,AD-11,SD-7,CD-9,3
06013302006,Contra Costa,17.8,12.3,12.8,1,0.9,2.6,2.9,3783,32.3,48.6,3.3,0,11.1,0,0,4.7,Census Tract 3020.06,Oakley (100.0),0,2.6,1538.9,AD-11,SD-7,CD-9,3
06013302007,Contra Costa,15.1,13.5,15.1,1.4,2.9,5.8,2.5,6582,29.4,48.9,8.1,2,6.9,1.4,0,3.2,Census Tract 3020.07,Oakley (100.0),0,1.7,4429.2,AD-11,SD-7,CD-9,3
06013302009,Contra Costa,30,12.2,13.9,4.8,8.9,10.7,6.5,6834,24.7,20.7,23,0,25.5,0,0,6.2,Census Tract 3020.09,Antioch (100.0),0,2,3836.6,AD-11,SD-7,CD-9,3
06013302011,Contra Costa,10.3,4.5,11.1,12.1,14.3,0,1.7,3803,37.5,25.6,18.2,0,10.1,0,0,8.6,Census Tract 3020.11,Oakley (87.3),12.7,6.1,882.7,AD-11,SD-7,CD-9,3
06013302012,Contra Costa,9.2,20.3,11.8,0,6.3,4.1,6.6,5072,42.6,34.4,12.9,1.7,0.7,3.5,0,4.2,Census Tract 3020.12,Oakley (100.0),0,1.2,4670.7,AD-11,SD-7,CD-9,3
06013302013,Contra Costa,6.6,8.4,0.5,0,0,1.4,3.5,3099,30.5,56.4,0.6,0.7,3.8,0,1.3,6.7,Census Tract 3020.13,Oakley (100.0),0,1.2,2826.6,AD-11,SD-7,CD-9,3
06013302014,Contra Costa,20.6,7.1,5,1.2,3.3,1.6,1.8,7997,29.3,45.8,0.7,0,13.3,0,0.4,10.5,Census Tract 3020.14,Oakley (100.0),0,1.5,5331.1,AD-11,SD-7,CD-9,3
06013303104,Contra Costa,17.6,7.1,6.3,2.1,6.1,4.3,9.5,6386,22.3,48.8,10.5,0,13,0,0,5.4,Census Tract 3031.04,"Brentwood (88.9), Oakley (6.5)",4.6,1.7,4302.8,AD-11,SD-7,CD-9,3
06013303105,Contra Costa,14.1,17.7,11.2,0,11.3,5.4,3,2575,26.8,44.5,9.8,0,13,0,1.5,4.3,Census Tract 3031.05,Brentwood (100.0),0,0.8,4011.5,AD-11,SD-7,CD-9,3
06013303106,Contra Costa,17.9,12.1,29.8,2,2.1,0.5,4.5,7067,40.1,41.9,3,0.6,7.7,0,0,6.8,Census Tract 3031.06,Brentwood (75.9),24.1,11.6,603.2,AD-11,SD-7,CD-9,3
06013303107,Contra Costa,16,8.6,8.1,2.9,3.9,0,2.3,7022,30.4,38.5,14.3,2.3,8.8,1.7,0,4.1,Census Tract 3031.07,Brentwood (100.0),0,1.3,5196.9,AD-11,SD-7,CD-9,3
06013303202,Contra Costa,6.1,4.7,8,6.4,6.7,0,2.8,8126,19.1,60.9,10,0,3.9,0,0,6.1,Census Tract 3032.02,Brentwood (100.0),0,1.4,6343.7,AD-11,SD-7,CD-9,3
06013303204,Contra Costa,16.1,14.1,15.5,4.4,7.2,5.1,3,4762,23.4,59.6,2.6,0,9,1.1,0,4.3,Census Tract 3032.04,Brentwood (100.0),0,0.8,6091.7,AD-11,SD-7,CD-9,3
06013303206,Contra Costa,19.2,5.4,6.5,0,10.7,2.6,4.4,5911,19.5,47.5,7.9,0,15.4,0.9,5.8,3,Census Tract 3032.06,Brentwood (100.0),0,3,1595.9,AD-11,SD-7,CD-9,3
