"","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"3151","GA1040000","Morgan County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","MORGAN","FALSE","33.630917","-83.45087","NULL"
"3152","GA1040100","Madison Police Department","City","Georgia","GA","South Atlantic","South","Region III","MORGAN","FALSE","33.593732","-83.492324","NULL"
"3153","GA1050000","Murray County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","MURRAY","FALSE","34.78274","-84.785446","NULL"
"3154","GA1050100","Chatsworth Police Department","City","Georgia","GA","South Atlantic","South","Region III","MURRAY","FALSE","34.797097","-84.73799","02/01/2019"
"3155","GA1050200","Eton Police Department","City","Georgia","GA","South Atlantic","South","Region III","MURRAY","FALSE","34.797097","-84.73799","08/01/2019"
"3156","GA1060000","Muscogee  County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","MUSCOGEE","FALSE","32.510197","-84.874946","NULL"
"3157","GA1060100","Columbus Police Department","City","Georgia","GA","South Atlantic","South","Region III","MUSCOGEE","FALSE","32.464756","-84.98599","NULL"
"3158","GA1060400","Columbus State University","University or College","Georgia","GA","South Atlantic","South","Region III","MUSCOGEE","FALSE","32.510197","-84.874946","NULL"
"3159","GA1060500","Muscogee City Marshal","Other","Georgia","GA","South Atlantic","South","Region III","MUSCOGEE","FALSE","32.46475","-84.991684","NULL"
"3160","GA1070000","Newton County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","NEWTON","FALSE","33.544065","-83.855192","10/01/2018"
"3161","GA1070100","Covington Police Department","City","Georgia","GA","South Atlantic","South","Region III","NEWTON","FALSE","33.595737","-83.857635","NULL"
"3162","GA1070200","Oxford Police Department","City","Georgia","GA","South Atlantic","South","Region III","NEWTON","FALSE","33.623592","-83.86772","06/01/2019"
"3163","GA1070300","Porterdale Police Department","City","Georgia","GA","South Atlantic","South","Region III","NEWTON","FALSE","33.544065","-83.855192","NULL"
"3164","GA1080000","Oconee County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","OCONEE","FALSE","33.834125","-83.437728","NULL"
"3165","GA1080100","Watkinsville Police Department","City","Georgia","GA","South Atlantic","South","Region III","OCONEE","FALSE","33.834125","-83.437728","NULL"
"3166","GA1090000","Oglethorpe County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","OGLETHORPE","FALSE","33.866806","-83.074081","NULL"
"3167","GA1100000","Paulding County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","PAULDING","FALSE","33.920903","-84.866979","01/01/2018"
"3168","GA1100100","Dallas Police Department","City","Georgia","GA","South Atlantic","South","Region III","PAULDING","FALSE","33.920903","-84.866979","NULL"
"3169","GA1100200","Hiram Police Department","City","Georgia","GA","South Atlantic","South","Region III","PAULDING","FALSE","33.8755","-84.76066","NULL"
"3170","GA1100400","Braswell  Police Department","City","Georgia","GA","South Atlantic","South","Region III","POLK; PAULDING","FALSE","33.920903","-84.866979","NULL"
"3171","GA1110000","Peach County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","PEACH","FALSE","32.571324","-83.831978","06/01/2018"
"3172","GA1110100","Fort Valley Police Department","City","Georgia","GA","South Atlantic","South","Region III","PEACH","FALSE","32.571324","-83.831978","NULL"
"3173","GA1110200","Byron Police Department","City","Georgia","GA","South Atlantic","South","Region III","PEACH","FALSE","32.571324","-83.831978","NULL"
"3174","GA1110300","Fort Valley State University","University or College","Georgia","GA","South Atlantic","South","Region III","PEACH","FALSE","32.571324","-83.831978","NULL"
"3175","GA1120000","Pickens County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","PICKENS","FALSE","34.468723","-84.43023","NULL"
"3176","GA1120100","Jasper Police Department","City","Georgia","GA","South Atlantic","South","Region III","PICKENS","FALSE","34.471848","-84.42297","NULL"
"3177","GA1120300","Pickens County Board of Education","Other","Georgia","GA","South Atlantic","South","Region III","PICKENS","FALSE","34.456625","-84.490263","NULL"
"3178","GA1130000","Pierce County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","PIERCE","FALSE","31.302244","-82.23383","06/01/2018"
"3179","GA1130100","Blackshear Police Department","City","Georgia","GA","South Atlantic","South","Region III","PIERCE","FALSE","31.353988","-82.210427","NULL"
"3180","GA1130200","Patterson Police Department","City","Georgia","GA","South Atlantic","South","Region III","PIERCE","FALSE","31.353988","-82.210427","NULL"
"3181","GA1140000","Pike County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","PIKE","FALSE","33.090768","-84.386627","NULL"
"3182","GA1140100","Zebulon Police Department","City","Georgia","GA","South Atlantic","South","Region III","PIKE","FALSE","33.090768","-84.386627","NULL"
"3183","GA1140300","Molena Police Department","City","Georgia","GA","South Atlantic","South","Region III","PIKE","FALSE","33.090768","-84.386627","NULL"
"3184","GA1150000","Polk County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","POLK","FALSE","33.996015","-85.188338","12/01/2018"
"3185","GA1150100","Cedartown Police Department","City","Georgia","GA","South Atlantic","South","Region III","POLK","FALSE","33.996015","-85.188338","NULL"
"3186","GA1150200","Rockmart Police Department","City","Georgia","GA","South Atlantic","South","Region III","POLK","FALSE","33.996015","-85.188338","NULL"
"3187","GA1150300","Polk County Police Department","County","Georgia","GA","South Atlantic","South","Region III","POLK","FALSE","33.996015","-85.188338","NULL"
"3188","GA1150400","Aragon Police Department","City","Georgia","GA","South Atlantic","South","Region III","POLK","FALSE","33.996015","-85.188338","NULL"
"3189","GA1160000","Pulaski County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","PULASKI","FALSE","32.238794","-83.481855","NULL"
"3190","GA1170000","Putnam County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","PUTNAM","FALSE","33.305023","-83.38951","NULL"
"3191","GA1170100","Eatonton Police Department","City","Georgia","GA","South Atlantic","South","Region III","PUTNAM","FALSE","33.32106","-83.37179","01/01/2019"
"3192","GA1180000","Quitman County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","QUITMAN","FALSE","31.861487","-85.009317","NULL"
"3193","GA1190000","Rabun County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","RABUN","FALSE","34.87886","-83.40285","NULL"
"3194","GA1190100","Clayton Police Department","City","Georgia","GA","South Atlantic","South","Region III","RABUN","FALSE","34.883026","-83.404735","NULL"
"3195","GA1190200","Mountain City Police Department","City","Georgia","GA","South Atlantic","South","Region III","RABUN","FALSE","34.883026","-83.404735","NULL"
"3196","GA1190300","Tallulah Falls Police Department","City","Georgia","GA","South Atlantic","South","Region III","RABUN; HABERSHAM","FALSE","34.635108","-83.526406","NULL"
"3197","GA1190400","Dillard Police Department","City","Georgia","GA","South Atlantic","South","Region III","RABUN","FALSE","34.883026","-83.404735","NULL"
"3198","GA1190500","Sky Valley Police Department","City","Georgia","GA","South Atlantic","South","Region III","RABUN","FALSE","34.883026","-83.404735","NULL"
"3199","GA1200000","Randolph County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","RANDOLPH","FALSE","31.762651","-84.752311","NULL"
"3200","GA1200100","Cuthbert Police Department","City","Georgia","GA","South Atlantic","South","Region III","RANDOLPH","FALSE","31.762651","-84.752311","NULL"
"3201","GA120059E","Andrew College ","University or College","Georgia","GA","South Atlantic","South","Region III","RANDOLPH","FALSE","31.771894","-84.79704","NULL"
"3202","GA1210000","Augusta-Richmond County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","RICHMOND","FALSE","33.46506","-81.959816","NULL"
"3203","GA1210300","Hephzibah Police Department","City","Georgia","GA","South Atlantic","South","Region III","RICHMOND","FALSE","33.361487","-82.074998","NULL"
"3204","GA1210400","Georgia Regents University","University or College","Georgia","GA","South Atlantic","South","Region III","RICHMOND","FALSE","33.47503","-81.98768","NULL"
"3205","GA1210600","Augusta Board of Education","Other","Georgia","GA","South Atlantic","South","Region III","RICHMOND","FALSE","33.475838","-81.96675","NULL"
"3206","GA1210700","Richmond County Marshal","Other","Georgia","GA","South Atlantic","South","Region III","RICHMOND","FALSE","33.361487","-82.074998","NULL"
"3207","GA1210800","Blythe Police Department","City","Georgia","GA","South Atlantic","South","Region III","BURKE; RICHMOND","FALSE","33.300552","-82.20991","12/01/2018"
"3208","GA121159E","Paine College","University or College","Georgia","GA","South Atlantic","South","Region III","RICHMOND","FALSE","33.469254","-81.99234","NULL"
"3209","GA1212100","Augusta Technical College","University or College","Georgia","GA","South Atlantic","South","Region III","RICHMOND","FALSE","33.419178","-82.051254","NULL"
"3210","GA1220000","Rockdale County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","ROCKDALE","FALSE","33.685886","-84.05896","NULL"
"3211","GA1220100","Conyers Police Department","City","Georgia","GA","South Atlantic","South","Region III","ROCKDALE","FALSE","33.65794","-84.01751","NULL"
"3212","GA1230000","Schley County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","SCHLEY","FALSE","32.263441","-84.322724","NULL"
"3213","GA1230100","Ellaville Police Department","City","Georgia","GA","South Atlantic","South","Region III","SCHLEY","FALSE","32.263441","-84.322724","NULL"
"3214","GA1240000","Screven  County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","SCREVEN","FALSE","32.744751","-81.617585","NULL"
"3215","GA1240100","Sylvania Police Department","City","Georgia","GA","South Atlantic","South","Region III","SCREVEN","FALSE","32.744751","-81.617585","NULL"
"3216","GA1240200","Hiltonia Police Department","City","Georgia","GA","South Atlantic","South","Region III","SCREVEN","FALSE","32.855003","-81.63829","NULL"
"3217","GA1240300","Newington Police Department","City","Georgia","GA","South Atlantic","South","Region III","SCREVEN","FALSE","32.744751","-81.617585","NULL"
"3218","GA1240400","Oliver Police Department","City","Georgia","GA","South Atlantic","South","Region III","SCREVEN","FALSE","32.744751","-81.617585","NULL"
"3219","GA1250000","Seminole County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","SEMINOLE","FALSE","31.041815","-84.885704","NULL"
"3220","GA1250100","Donalsonville Police Department","City","Georgia","GA","South Atlantic","South","Region III","SEMINOLE","FALSE","30.933894","-84.867592","NULL"
"3221","GA1260000","Spalding County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","SPALDING","FALSE","33.262389","-84.286067","NULL"
"3222","GA1260100","Griffin Police Department","City","Georgia","GA","South Atlantic","South","Region III","SPALDING","FALSE","33.262389","-84.286067","NULL"
"3223","GA1260400","Southern Crescent Technical College","University or College","Georgia","GA","South Atlantic","South","Region III","SPALDING","FALSE","33.254433","-84.28889","NULL"
