"","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"1","AK0010100","Anchorage Police Department","Municipality","Alaska","AK","Pacific","West","Region IV","ANCHORAGE","FALSE","61.17425","-149.284329","NULL"
"2","AK0010200","Fairbanks Police Department","Borough","Alaska","AK","Pacific","West","Region IV","FAIRBANKS NORTH STAR","FALSE","64.83945","-147.71942","NULL"
"3","AK0010300","Juneau Police Department","City and Borough","Alaska","AK","Pacific","West","Region IV","JUNEAU","FALSE","58.356556","-134.50731","NULL"
"4","AK0010400","Ketchikan Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KETCHIKAN GATEWAY","FALSE","55.449938","-131.106685","NULL"
"5","AK0010500","Kodiak Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KODIAK ISLAND","FALSE","57.8049","-152.37332","NULL"
"6","AK0010600","Nome Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","NOME","FALSE","64.783686","-164.188912","NULL"
"7","AK0010700","Petersburg Police Department","Borough","Alaska","AK","Pacific","West","Region IV","PETERSBURG","FALSE","55.415683","-132.875734","NULL"
"8","AK0010800","Seward Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.366668","-152.322283","NULL"
"9","AK0010900","Sitka Police Department","City and Borough","Alaska","AK","Pacific","West","Region IV","SITKA","FALSE","57.052124","-135.33418","NULL"
"10","AK0011000","Skagway Police Department","Municipality","Alaska","AK","Pacific","West","Region IV","SKAGWAY","FALSE","59.575097","-135.335418","NULL"
"11","AK0011100","Wrangell Police Department","City and Borough","Alaska","AK","Pacific","West","Region IV","WRANGELL","FALSE","56.279121","-132.040325","NULL"
"12","AK0011200","Valdez Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","VALDEZ-CORDOVA","FALSE","61.34984","-145.023141","NULL"
"13","AK0011300","Bethel Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","BETHEL","FALSE","60.928916","-160.15335","NULL"
"14","AK0011400","Cordova Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","VALDEZ-CORDOVA","FALSE","61.34984","-145.023141","NULL"
"15","AK0011600","Kotzebue Police Department","Borough","Alaska","AK","Pacific","West","Region IV","NORTHWEST ARCTIC","FALSE","67.005066","-160.021086","NULL"
"16","AK0011700","Palmer Police Department","Borough","Alaska","AK","Pacific","West","Region IV","MATANUSKA-SUSITNA","FALSE","61.602676","-149.11183","NULL"
"17","AK0011800","North Slope Borough Police Department","Borough","Alaska","AK","Pacific","West","Region IV","NORTH SLOPE","FALSE","69.449343","-153.47283","NULL"
"18","AK0011900","Seldovia Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.366668","-152.322283","NULL"
"19","AK0012000","Soldotna Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.481678","-151.07265","NULL"
"20","AK0012100","Haines Police Department","Borough","Alaska","AK","Pacific","West","Region IV","HAINES","FALSE","59.098771","-135.576936","NULL"
"21","AK0012200","Homer Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","59.64873","-151.52992","NULL"
"22","AK0012300","Kenai Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.559402","-151.2507","NULL"
"23","AK0012500","Metlakatla Tribal Police Department","Borough","Alaska","AK","Pacific","West","Region IV","N/A","FALSE","55.415683","-132.875734","NULL"
"24","AK0012600","Fairbanks International Airport","Borough","Alaska","AK","Pacific","West","Region IV","N/A","FALSE","64.81904","-147.86464","NULL"
"25","AK0012700","Anchorage International Airport","Borough","Alaska","AK","Pacific","West","Region IV","N/A","FALSE","61.17425","-149.284329","NULL"
"26","AK0012800","Whittier Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","VALDEZ-CORDOVA","FALSE","61.34984","-145.023141","NULL"
"27","AK0013000","Dillingham Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","DILLINGHAM","FALSE","59.824816","-158.602233","NULL"
"28","AK0013100","Hoonah Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","HOONAH-ANGOON","FALSE","58.076434","-135.1851","NULL"
"29","AK0013200","North Pole Police Department","Borough","Alaska","AK","Pacific","West","Region IV","FAIRBANKS NORTH STAR","FALSE","64.75503","-147.35081","NULL"
"30","AK0013300","Unalaska Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","ALEUTIANS WEST","FALSE","51.959447","178.338813","NULL"
"31","AK0013500","Klawock Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","PRINCE OF WALES-HYDER","FALSE","55.415683","-132.875734","NULL"
"32","AK0014200","University of Alaska: Fairbanks","Borough","Alaska","AK","Pacific","West","Region IV","N/A","FALSE","64.691501","-146.601909","NULL"
"33","AK0014300","University of Alaska: Anchorage","Borough","Alaska","AK","Pacific","West","Region IV","N/A","FALSE","61.189857","-149.81879","NULL"
"34","AK0014500","Craig Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","PRINCE OF WALES-HYDER","FALSE","55.415683","-132.875734","NULL"
"35","AK0014600","Bristol Bay Borough Police Department","Borough","Alaska","AK","Pacific","West","Region IV","BRISTOL BAY","FALSE","58.732389","-156.986661","NULL"
"36","AK0015000","St. Paul Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","ALEUTIANS WEST","FALSE","51.959447","178.338813","NULL"
"37","AK0015200","Sand Point Police Department","Borough","Alaska","AK","Pacific","West","Region IV","ALEUTIANS EAST","FALSE","55.245044","-161.997477","NULL"
"38","AK0015600","Wasilla Police Department","Borough","Alaska","AK","Pacific","West","Region IV","MATANUSKA-SUSITNA","FALSE","62.182174","-149.407974","NULL"
"39","AKAST0100","State Troopers","Borough","Alaska","AK","Pacific","West","Region IV","N/A","FALSE","62.182174","-149.407974","NULL"
"40","AL0010000","Jefferson County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"41","AL0010100","Bessemer Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.396152","-86.95345","NULL"
"42","AL0010200","Birmingham Police Department","City","Alabama","AL","East South Central","South","Region III","SHELBY; JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"43","AL0010300","Mountain Brook Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.50124","-86.75607","NULL"
"44","AL0010400","Fairfield Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"45","AL0010500","Gardendale Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"46","AL0010600","Leeds Police Department","City","Alabama","AL","East South Central","South","Region III","SHELBY; ST CLAIR; JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"47","AL0010700","Midfield Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"48","AL0010800","Tarrant Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.585728","-86.775024","NULL"
"49","AL0010900","Vestavia Hills Police Department","City","Alabama","AL","East South Central","South","Region III","SHELBY; JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"50","AL0011000","Homewood Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.479603","-86.791016","NULL"
"51","AL0011100","Fultondale Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"52","AL0011200","Hoover Police Department","City","Alabama","AL","East South Central","South","Region III","SHELBY; JEFFERSON","TRUE","33.38795","-86.80636","01/01/2006"
"53","AL0011300","Irondale Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.538326","-86.70705","NULL"
"54","AL0011400","Pleasant Grove Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.49046","-86.9703","NULL"
"55","AL0011800","Brighton Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.42912","-86.94988","NULL"
"56","AL0011900","Hueytown Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"57","AL0012000","Lipscomb Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"58","AL0012100","Trussville Police Department","City","Alabama","AL","East South Central","South","Region III","ST CLAIR; JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"59","AL0012200","Adamsville Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"60","AL0012300","Warrior Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"61","AL0012400","University of Alabama: Birmingham","University or College","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.49646","-86.80456","NULL"
"62","AL0012500","Trafford Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"63","AL0012600","Morris Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"64","AL0012700","Brookside Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"65","AL0012900","Kimberly Police Department","City","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"66","AL0013200","Tannehill Ironworks Historic State Park","Other State Agency","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"67","AL0013400","Jefferson State Community College","University or College","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.64871","-86.7103","NULL"
"68","AL0013500","Norfolk Southern Railway","Other","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.545006","-86.70188","NULL"
"69","AL0014000","Lawson State Community College","University or College","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.553444","-86.896536","NULL"
"70","AL0014100","Samford University","University or College","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.464043","-86.78812","NULL"
"71","AL0014500","Trussville Fire Department Fire and Explosion Investigation Unit","Other","Alabama","AL","East South Central","South","Region III","JEFFERSON","FALSE","33.6301","-86.59608","NULL"
"72","AL0020000","Mobile County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"73","AL0020100","Mobile Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.673004","-88.09793","NULL"
"74","AL0020200","Prichard Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.730814","-88.0808","NULL"
"75","AL0020300","Chickasaw Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"76","AL0020400","Citronelle Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","31.089754","-88.22756","NULL"
"77","AL0020500","Saraland Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.80567","-88.071266","NULL"
"78","AL0020600","Bayou La Batre Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"79","AL0020700","Satsuma Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"80","AL0020800","Mount Vernon Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"81","AL0021200","Creola Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"82","AL0021300","Mobile Regional Airport","Other","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"83","AL0021400","University of South Alabama","University or College","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.69486","-88.17397","NULL"
"84","AL0021500","Dauphin Island Police Department","City","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.684572","-88.196568","NULL"
"85","AL0021700","Bishop State Community College","University or College","Alabama","AL","East South Central","South","Region III","MOBILE","FALSE","30.69399","-88.056145","NULL"
"86","AL0030000","Montgomery County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","MONTGOMERY","FALSE","32.20365","-86.203831","NULL"
"87","AL0030100","Montgomery Police Department","City","Alabama","AL","East South Central","South","Region III","MONTGOMERY","FALSE","32.20365","-86.203831","NULL"
"88","AL0030500","Alabama Department of Mental Health","Other State Agency","Alabama","AL","East South Central","South","Region III","MONTGOMERY","FALSE","32.20365","-86.203831","NULL"
"89","AL0030600","Alabama State University","University or College","Alabama","AL","East South Central","South","Region III","MONTGOMERY","FALSE","32.20365","-86.203831","NULL"
"90","AL0030700","Auburn University: Montgomery","University or College","Alabama","AL","East South Central","South","Region III","MONTGOMERY","FALSE","32.20365","-86.203831","NULL"
"91","AL0030800","Alabama Public Service Commission Enforcement Division","Other State Agency","Alabama","AL","East South Central","South","Region III","MONTGOMERY","FALSE","32.20365","-86.203831","NULL"
"92","AL0031400","State Fire Marshal","Other State Agency","Alabama","AL","East South Central","South","Region III","MONTGOMERY","FALSE","32.20365","-86.203831","NULL"
"93","AL0040000","Autauga County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","AUTAUGA","FALSE","32.4632","-86.47712","NULL"
"94","AL0040100","Prattville Police Department","City","Alabama","AL","East South Central","South","Region III","ELMORE; AUTAUGA","FALSE","32.459705","-86.47263","NULL"
"95","AL0040200","Autaugaville Police Department","City","Alabama","AL","East South Central","South","Region III","AUTAUGA","FALSE","32.536382","-86.64449","NULL"
"96","AL0050000","Baldwin County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.884958","-87.775055","NULL"
"97","AL0050100","Bay Minette Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"98","AL0050200","Fairhope Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"99","AL0050300","Foley Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"100","AL0050400","Gulf Shores Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"101","AL0050500","Robertsdale Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"102","AL0050600","Loxley Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"103","AL0050700","Silverhill Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"104","AL0050800","Daphne Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.599625","-87.898056","NULL"
"105","AL0050900","Summerdale Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"106","AL0051000","Elberta Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"107","AL0051100","Faulkner State Community College","University or College","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"108","AL0051200","Orange Beach Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"109","AL0051300","Spanish Fort Police Department","City","Alabama","AL","East South Central","South","Region III","BALDWIN","FALSE","30.659218","-87.746067","NULL"
"110","AL0060000","Barbour County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","BARBOUR","FALSE","31.886034","-85.4849","NULL"
"111","AL0060100","Eufaula Police Department","City","Alabama","AL","East South Central","South","Region III","BARBOUR","FALSE","31.870253","-85.405104","NULL"
"112","AL0060200","Clayton Police Department","City","Alabama","AL","East South Central","South","Region III","BARBOUR","FALSE","31.870253","-85.405104","NULL"
"113","AL0060300","Clio Police Department","City","Alabama","AL","East South Central","South","Region III","BARBOUR","FALSE","31.870253","-85.405104","NULL"
"114","AL0060400","Louisville Police Department","City","Alabama","AL","East South Central","South","Region III","BARBOUR","FALSE","31.870253","-85.405104","NULL"
"115","AL0060700","Baker Hill Police Department","City","Alabama","AL","East South Central","South","Region III","BARBOUR","FALSE","31.870253","-85.405104","NULL"
"116","AL0070000","Bibb County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","BIBB","FALSE","32.939995","-87.11683","NULL"
"117","AL0070100","Centreville Police Department","City","Alabama","AL","East South Central","South","Region III","BIBB","FALSE","33.015893","-87.127148","NULL"
"118","AL0070200","Brent Police Department","City","Alabama","AL","East South Central","South","Region III","BIBB","FALSE","33.015893","-87.127148","NULL"
"119","AL0070300","West Blocton Police Department","City","Alabama","AL","East South Central","South","Region III","BIBB","FALSE","33.015893","-87.127148","NULL"
"120","AL0070400","Woodstock Police Department","City","Alabama","AL","East South Central","South","Region III","TUSCALOOSA; BIBB","FALSE","33.015893","-87.127148","NULL"
"121","AL0080000","Blount County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","BLOUNT","FALSE","33.929085","-86.4896","NULL"
"122","AL0080100","Oneonta Police Department","City","Alabama","AL","East South Central","South","Region III","BLOUNT","FALSE","33.943935","-86.47508","NULL"
"123","AL0080200","Blountsville Police Department","City","Alabama","AL","East South Central","South","Region III","BLOUNT","FALSE","33.977448","-86.567246","NULL"
"124","AL0080300","Cleveland Police Department","City","Alabama","AL","East South Central","South","Region III","BLOUNT","FALSE","33.977448","-86.567246","NULL"
"125","AL0080400","Snead Police Department","City","Alabama","AL","East South Central","South","Region III","BLOUNT","FALSE","33.977448","-86.567246","NULL"
"126","AL0080500","Highland Lake Police Department","City","Alabama","AL","East South Central","South","Region III","BLOUNT","FALSE","33.885117","-86.41327","NULL"
"127","AL0090000","Bullock County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","BULLOCK","FALSE","32.14111","-85.71614","NULL"
"128","AL0090100","Union Springs Police Department","City","Alabama","AL","East South Central","South","Region III","BULLOCK","FALSE","32.13935","-85.716125","NULL"
"129","AL0100000","Butler County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","BUTLER","FALSE","31.751667","-86.681969","NULL"
"130","AL0100100","Greenville Police Department","City","Alabama","AL","East South Central","South","Region III","BUTLER","FALSE","31.751667","-86.681969","NULL"
"131","AL0100200","Georgiana Police Department","City","Alabama","AL","East South Central","South","Region III","BUTLER","FALSE","31.751667","-86.681969","NULL"
"132","AL0100300","McKenzie Police Department","City","Alabama","AL","East South Central","South","Region III","CONECUH; BUTLER","FALSE","31.751667","-86.681969","NULL"
"133","AL0110000","Calhoun County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.771706","-85.822513","NULL"
"134","AL0110100","Anniston Police Department","City","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.771706","-85.822513","NULL"
"135","AL0110200","Jacksonville Police Department","City","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.813366","-85.76122","NULL"
"136","AL0110300","Piedmont Police Department","City","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.771706","-85.822513","NULL"
"137","AL0110400","Weaver Police Department","City","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.771706","-85.822513","NULL"
"138","AL0110500","Oxford Police Department","City","Alabama","AL","East South Central","South","Region III","TALLADEGA; CALHOUN","FALSE","33.771706","-85.822513","NULL"
"139","AL0110600","Hobson City Police Department","City","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.62035","-85.845985","NULL"
"140","AL0110700","Ohatchee Police Department","City","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.771706","-85.822513","NULL"
"141","AL0110800","Jacksonville State University","University or College","Alabama","AL","East South Central","South","Region III","CALHOUN","FALSE","33.798615","-85.761284","NULL"
"142","AL0120000","Chambers County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CHAMBERS","FALSE","32.89985","-85.40123","NULL"
"143","AL0120100","Lafayette Police Department","City","Alabama","AL","East South Central","South","Region III","CHAMBERS","FALSE","32.915504","-85.394032","NULL"
"144","AL0120200","Lanett Police Department","City","Alabama","AL","East South Central","South","Region III","CHAMBERS","FALSE","32.915504","-85.394032","NULL"
"145","AL0120400","Valley Police Department","City","Alabama","AL","East South Central","South","Region III","CHAMBERS","FALSE","32.915504","-85.394032","NULL"
"146","AL0130000","Cherokee County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CHEROKEE","FALSE","34.163456","-85.66378","NULL"
"147","AL0130100","Centre Police Department","City","Alabama","AL","East South Central","South","Region III","CHEROKEE","FALSE","34.1512","-85.67609","NULL"
"148","AL0130200","Cedar Bluff Police Department","City","Alabama","AL","East South Central","South","Region III","CHEROKEE","FALSE","34.069515","-85.654242","NULL"
"149","AL0130300","Leesburg Police Department","City","Alabama","AL","East South Central","South","Region III","CHEROKEE","FALSE","34.069515","-85.654242","NULL"
"150","AL0140000","Chilton County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CHILTON","FALSE","32.84005","-86.62905","NULL"
"151","AL0140100","Clanton Police Department","City","Alabama","AL","East South Central","South","Region III","CHILTON","FALSE","32.854051","-86.726607","NULL"
"152","AL0140200","Maplesville Police Department","City","Alabama","AL","East South Central","South","Region III","CHILTON","FALSE","32.854051","-86.726607","NULL"
"153","AL0140300","Jemison Police Department","City","Alabama","AL","East South Central","South","Region III","CHILTON","FALSE","32.854051","-86.726607","NULL"
"154","AL0140400","Thorsby Police Department","City","Alabama","AL","East South Central","South","Region III","CHILTON","FALSE","32.854051","-86.726607","NULL"
"155","AL0150000","Choctaw County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CHOCTAW","FALSE","31.990997","-88.248908","NULL"
"156","AL0150100","Butler Police Department","City","Alabama","AL","East South Central","South","Region III","CHOCTAW","FALSE","31.990997","-88.248908","NULL"
"157","AL0150200","Gilbertown Police Department","City","Alabama","AL","East South Central","South","Region III","CHOCTAW","FALSE","31.990997","-88.248908","NULL"
"158","AL0160000","Clarke County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CLARKE","FALSE","31.685521","-87.818624","NULL"
"159","AL0160100","Jackson Police Department","City","Alabama","AL","East South Central","South","Region III","CLARKE","FALSE","31.685521","-87.818624","NULL"
"160","AL0160200","Thomasville Police Department","City","Alabama","AL","East South Central","South","Region III","CLARKE","FALSE","31.685521","-87.818624","NULL"
"161","AL0160300","Grove Hill Police Department","City","Alabama","AL","East South Central","South","Region III","CLARKE","FALSE","31.685521","-87.818624","NULL"
"162","AL0160600","Coffeeville Police Department","City","Alabama","AL","East South Central","South","Region III","CLARKE","FALSE","31.685521","-87.818624","NULL"
"163","AL0170000","Clay County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CLAY","FALSE","33.267809","-85.862051","NULL"
"164","AL0170100","Ashland Police Department","City","Alabama","AL","East South Central","South","Region III","CLAY","FALSE","33.267809","-85.862051","NULL"
"165","AL0170200","Lineville Police Department","City","Alabama","AL","East South Central","South","Region III","CLAY","FALSE","33.267809","-85.862051","NULL"
"166","AL0180000","Cleburne County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CLEBURNE","FALSE","33.671964","-85.516126","NULL"
"167","AL0180100","Heflin Police Department","City","Alabama","AL","East South Central","South","Region III","CLEBURNE","FALSE","33.671964","-85.516126","NULL"
"168","AL0180200","Ranburne Police Department","City","Alabama","AL","East South Central","South","Region III","CLEBURNE","FALSE","33.671964","-85.516126","NULL"
"169","AL0190000","Coffee County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","COFFEE","FALSE","31.402258","-85.989602","NULL"
"170","AL0190100","Elba Police Department","City","Alabama","AL","East South Central","South","Region III","COFFEE","FALSE","31.402258","-85.989602","NULL"
"171","AL0190200","Enterprise Police Department","City","Alabama","AL","East South Central","South","Region III","DALE; COFFEE","FALSE","31.402258","-85.989602","NULL"
"172","AL0190300","New Brockton Police Department","City","Alabama","AL","East South Central","South","Region III","COFFEE","FALSE","31.402258","-85.989602","NULL"
"173","AL0190400","Kinston Police Department","City","Alabama","AL","East South Central","South","Region III","COFFEE","FALSE","31.402258","-85.989602","NULL"
"174","AL0200000","Colbert County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.73306","-87.70358","NULL"
"175","AL0200100","Sheffield Police Department","City","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.703112","-87.801457","NULL"
"176","AL0200200","Tuscumbia Police Department","City","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.703112","-87.801457","NULL"
"177","AL0200300","Muscle Shoals Police Department","City","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.703112","-87.801457","NULL"
"178","AL0200400","Cherokee Police Department","City","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.703112","-87.801457","NULL"
"179","AL0200500","Leighton Police Department","City","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.703112","-87.801457","NULL"
"180","AL0200600","Littleville Police Department","City","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.59297","-87.67472","NULL"
"181","AL0200800","Northwest-Shoals Community College","University or College","Alabama","AL","East South Central","South","Region III","COLBERT","FALSE","34.73978","-87.67938","NULL"
"182","AL0210000","Conecuh County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CONECUH","FALSE","31.435986","-86.95452","NULL"
"183","AL0210100","Evergreen Police Department","City","Alabama","AL","East South Central","South","Region III","CONECUH","FALSE","31.428292","-86.992029","NULL"
"184","AL0210200","Castleberry Police Department","City","Alabama","AL","East South Central","South","Region III","CONECUH","FALSE","31.428292","-86.992029","NULL"
"185","AL0210300","Repton Police Department","City","Alabama","AL","East South Central","South","Region III","CONECUH","FALSE","31.428292","-86.992029","NULL"
"186","AL0220000","Coosa County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","COOSA","FALSE","32.931445","-86.243482","NULL"
"187","AL0220100","Goodwater Police Department","City","Alabama","AL","East South Central","South","Region III","COOSA","FALSE","32.931445","-86.243482","NULL"
"188","AL0230000","Covington County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.31337","-86.50222","NULL"
"189","AL0230100","Andalusia Police Department","City","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"190","AL0230200","Opp Police Department","City","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"191","AL0230300","Florala Police Department","City","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"192","AL0230400","Gantt Police Department","City","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"193","AL0230500","Red Level Police Department","City","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"194","AL0230600","Lockhart Police Department","City","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"195","AL0230700","River Falls Police Department","City","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"196","AL0230800","22nd Judicial Circuit Drug Task Force","Other","Alabama","AL","East South Central","South","Region III","COVINGTON","FALSE","31.243987","-86.448721","NULL"
"197","AL0240000","Crenshaw County Sheriff's Office","County","Alabama","AL","East South Central","South","Region III","CRENSHAW","FALSE","31.732826","-86.319222","NULL"
