State,City,Population,"Violent
crime","Property
crime"
IL,Campton Hills,11327,0,47
IL,Canton,14461,27,367
IL,Carbondale,26248,244,1031
IL,Carlinville,5828,15,165
IL,Carlyle,3278,15,64
IL,Carol Stream,40376,29,454
IL,Carpentersville,38342,26,557
IL,Carrollton,2409,2,31
IL,Carthage,2567,1,18
IL,Cary,18090,11,131
IL,Caseyville,4193,61,115
IL,Central City,1147,2,37
IL,Centralia,12805,67,819
IL,Champaign,82966,654,2275
IL,Channahon,12604,0,83
IL,Charleston,21926,22,88
IL,Chebanse,1039,1,1
IL,Chenoa,3250,4,27
IL,Cherry Valley,3137,18,343
IL,Chester,8448,14,42
IL,"Chicago7, 8",2720554,NA,95908
IL,Chicago Ridge,14463,22,658
IL,Chillicothe,6135,13,140
IL,Cicero,84204,346,1830
IL,Clarendon Hills,8614,0,61
IL,Coal City,5547,6,118
IL,Coal Valley,3783,8,28
IL,Cobden,1136,8,18
IL,Colchester,1393,2,2
IL,Colfax,1062,1,11
IL,Collinsville,25135,33,780
IL,Colona,5151,1,68
IL,Columbia,9960,10,91
IL,Cortland,4326,2,20
IL,Country Club Hills,16954,44,554
IL,Countryside,5982,4,173
IL,Crest Hill,20865,26,327
IL,Crete,8278,18,161
IL,Crystal Lake,40383,47,784
IL,Danvers,1155,1,10
IL,Darien,22365,12,255
IL,Davis,660,0,2
IL,Decatur,75190,351,2369
IL,Deer Creek,705,0,10
IL,Deerfield,18283,2,184
IL,De Kalb,43765,204,1218
IL,Delavan,1681,1,29
IL,De Pue,1778,2,9
IL,De Soto,1591,4,5
IL,Des Plaines,58975,56,791
IL,Diamond,2520,0,19
IL,Divernon,1173,0,16
IL,Dixmoor,3651,20,164
IL,Dixon,15304,13,363
IL,Dolton,23309,166,1502
IL,Downers Grove,49558,25,719
IL,Dupo,4042,32,69
IL,Du Quoin,5993,8,97
IL,Dwight,4206,3,49
IL,Earlville,1673,2,38
IL,East Alton,6181,13,236
IL,East Dubuque,1692,15,22
IL,East Dundee,2889,1,101
IL,East Hazel Crest,1557,3,33
IL,East Moline,21430,63,488
IL,Easton,308,0,1
IL,East Peoria,23458,85,679
IL,Edwardsville,24511,15,406
IL,Effingham,12633,24,413
IL,Elburn,5689,2,42
IL,Eldorado,4121,10,153
IL,Elgin,110454,236,1902
IL,Elizabeth,757,2,1
IL,Elk Grove Village,33414,25,624
IL,Elmhurst,45501,12,555
IL,Elmwood,2105,2,26
IL,Elmwood Park,24998,29,363
IL,El Paso,2810,2,55
IL,Elwood,2279,3,19
IL,Erie,1576,3,17
IL,Eureka,5360,7,82
IL,Evanston,75709,189,1902
IL,Evergreen Park,19951,28,617
IL,Fairbury,3731,3,89
IL,Fairfield,5068,17,128
IL,Fairmont City,2573,3,49
IL,Fairview Heights,16960,34,729
IL,Farmington,2405,8,71
IL,Fayetteville,355,1,10
IL,Findlay,669,0,6
IL,Fisher,1924,3,24
IL,Flora,5054,5,162
IL,Flossmoor,9526,15,157
IL,Forest Park,14233,42,782
IL,Forest View,700,1,50
IL,Fox Lake,10537,14,205
IL,Fox River Grove,4740,5,54
IL,Frankfort,18115,11,202
IL,Franklin Grove,979,0,15
IL,Franklin Park,18417,21,309
IL,Freeburg,4363,11,49
IL,Fulton,3415,4,58
IL,Galena,3392,1,36
IL,Galesburg,31602,125,1140
IL,Geneseo,6541,7,98
IL,Geneva,21790,5,235
IL,Genoa,5185,6,45
IL,Germantown,1297,0,16
IL,Gibson City,3388,3,41
IL,Gilberts,7484,1,48
IL,Gillespie,3247,11,60
IL,Gilman,1780,2,39
IL,Girard,2068,10,36
IL,Glasford,1018,3,1
IL,Glen Carbon,12916,11,76
IL,Glencoe,8840,0,72
IL,Glendale Heights,34630,40,488
IL,Glen Ellyn,27736,9,291
IL,Glenview,45125,22,485
IL,Glenwood,9060,13,205
IL,Godfrey,17894,12,248
IL,Godley,653,3,6
IL,Goodfield,886,0,51
IL,Grafton,661,0,12
IL,Grandview,1437,0,30
IL,Granite City,29447,174,854
IL,Grantfork,333,0,4
IL,Granville,1377,0,2
IL,Grayslake,21142,31,348
IL,Grayville,1647,6,12
IL,Greenfield,1034,1,4
IL,Greenup,1502,19,33
IL,Greenville,6965,4,127
IL,Gurnee,31253,38,1454
IL,Hampshire,5642,5,31
IL,Hampton,1863,2,24
IL,Hanover,829,0,8
IL,Hanover Park,38499,37,322
IL,Harrisburg,9034,47,177
IL,Hartford,1400,4,38
IL,Harvard,9326,4,126
IL,Harvey,25408,407,1422
IL,Harwood Heights,8675,12,143
IL,Havana,3197,20,99
IL,Hawthorn Woods,7731,1,19
IL,Hazel Crest,14208,56,489
IL,Henry,2379,6,31
IL,Herrin,12751,1,485
IL,Herscher,1593,1,14
IL,Heyworth,2891,5,27
IL,Hickory Hills,14172,10,191
IL,Highland Park,29939,23,307
IL,Highwood,5345,10,50
IL,Hillsboro,6107,29,63
IL,Hillsdale,523,0,0
IL,Hinsdale,17222,2,165
IL,Hodgkins,1896,5,266
IL,Hoffman Estates,52422,55,548
IL,Homer,1197,0,7
IL,Homer Glen,24395,5,184
IL,Hometown,4366,6,70
IL,Homewood,19445,45,683
IL,Hoopeston,5266,32,202
IL,Hopedale,869,1,7
IL,Hudson,1851,0,19
IL,Huntley,24978,4,187
IL,Indian Head Park,3844,2,13
IL,Inverness,7519,1,24
IL,Irving,485,2,6
IL,Irvington,658,1,12
IL,Island Lake,8027,6,67
IL,Itasca,8810,3,112
IL,Jacksonville,19256,39,429
IL,Jerome,1650,11,39
IL,Jerseyville,8491,20,289
IL,Joliet,148462,557,3217
IL,Justice,13055,10,111
IL,Kankakee,27286,196,1063
IL,Kenilworth,2526,0,20
IL,Kewanee,12739,30,406
IL,Kildeer,3974,2,43
IL,Kincaid,1485,1,9
IL,Kingston,1159,0,8
IL,Knoxville,2876,0,51
IL,Lacon,1863,2,9
IL,La Grange,15718,15,119
IL,La Grange Park,13650,1,85
IL,La Harpe,1218,0,19
IL,Lake in the Hills,29133,15,93
IL,Lakemoor,6047,1,42
IL,Lake Villa,8798,6,70
IL,Lakewood,3811,1,12
IL,Lake Zurich,19999,3,308
IL,Lansing,28520,109,1170
IL,La Salle,9448,12,170
IL,Lawrenceville,4244,14,84
IL,Leland,961,2,6
IL,Leland Grove,1574,0,8
IL,Lemont,16460,13,260
IL,Lexington,2072,1,5
IL,Libertyville,20368,6,231
IL,Lincoln,14265,50,432
IL,Lincolnshire,7271,4,58
IL,Lincolnwood,12675,10,541
IL,Lindenhurst,14470,4,48
IL,Lisle,22717,13,229
IL,Litchfield,6775,9,216
IL,Loami,755,1,8
IL,Lockport,25100,23,263
IL,Lombard,43883,41,916
IL,Lovington,1122,2,18
IL,Lyons,10781,15,196
IL,Machesney Park,23211,58,500
IL,Macomb,19246,55,399
IL,Mahomet,7588,10,56
IL,Malta,1152,0,6
IL,Manhattan,7152,3,37
IL,Maple Park,1312,2,1
IL,Marengo,7572,3,76
IL,Marine,945,0,7
IL,Marion,17349,7,194
IL,Maroa,1787,2,12
IL,Marseilles,5056,7,102
IL,Martinsville,1155,0,25
IL,Maryville,7890,6,76
IL,Mascoutah,7966,5,58
IL,Matteson,19188,73,879
IL,Mattoon,18297,41,372
IL,Maywood,24184,207,844
IL,McCook,231,3,38
IL,McHenry,26761,37,434
IL,McLean,828,0,5
IL,Melrose Park,25559,43,451
IL,Mendota,7409,11,114
IL,Merrionette Park,1906,0,43
IL,Metropolis,6455,37,208
IL,Midlothian,14918,40,314
IL,Milan,5093,8,123
IL,Minonk,2071,0,26
IL,Minooka,11149,4,123
IL,Mokena,19130,10,178
IL,Moline,43172,121,1389
IL,Monmouth,9488,56,373
IL,Montgomery,19259,18,365
IL,Monticello,5436,7,15
IL,Morris,13882,19,358
IL,Morrison,4127,11,48
IL,Morton,16462,18,155
IL,Morton Grove,23516,31,409
IL,Mount Carmel,7100,18,205
IL,Mount Carroll,1652,0,36
IL,Mount Morris,2937,1,23
IL,Mount Prospect,54600,21,610
IL,Mount Pulaski,1540,0,11
IL,Mount Vernon,15203,217,944
IL,Mount Zion,5885,6,30
IL,Moweaqua,1785,2,9
IL,Mundelein,31291,16,281
IL,Naperville,144221,105,1869
IL,Nashville,3204,8,50
IL,Neoga,1626,2,17
IL,New Athens,2000,1,51
IL,New Lenox,24805,21,270
IL,Newton,2808,3,48
IL,Niles,30008,35,720
IL,Nokomis,2201,20,41
IL,Normal,54241,115,1294
IL,Norridge,14676,19,621
IL,North Aurora,17095,21,221
IL,Northbrook,33567,8,479
IL,North Chicago,28780,58,119
IL,Northfield,5484,2,50
IL,Northlake,12382,10,376
IL,North Riverside,6698,22,454
IL,Norwood,480,0,0
IL,Oak Brook,8022,4,546
IL,Oakbrook Terrace,2161,2,93
IL,Oak Forest,28211,37,437
IL,Oak Lawn,57083,81,1082
IL,Oak Park,52051,126,1649
IL,Oakwood Hills,2084,3,17
IL,Oblong,1435,18,23
IL,O'Fallon,29388,34,546
IL,Oglesby,3737,5,80
IL,Okawville,1418,1,18
IL,Olney,9084,30,306
IL,Olympia Fields,5046,3,184
IL,Oquawka,1308,2,5
IL,Oregon,3641,7,71
IL,Orion,1858,1,9
IL,Orland Park,57578,17,1332
IL,Oswego,32057,18,459
IL,Ottawa,18507,13,386
IL,Palatine,69317,33,664
IL,Palestine,1337,7,16
IL,Palos Heights,12611,6,157
IL,Palos Hills,17646,13,159
IL,Palos Park,4909,0,31
IL,Pana,5778,12,101
IL,Paris,8612,29,172
IL,Park City,7496,11,132
IL,Park Forest,22052,94,471
IL,Park Ridge,37788,15,469
IL,Patoka,571,0,3
IL,Pawnee,2747,0,7
IL,Paxton,4441,4,61
IL,Pekin,34085,120,882
IL,Peoria,115953,784,4415
IL,Peoria Heights,6117,24,142
IL,Peotone,4160,7,41
IL,Peru,10155,13,183
IL,Phoenix,1976,10,44
IL,Pierron,587,0,0
IL,Pinckneyville,5582,12,24
IL,Pingree Grove,5028,2,32
IL,Plainfield,40639,20,426
IL,Plano,11104,2,118
IL,Pleasant Plains,807,0,6
IL,Polo,2300,6,20
IL,Pontiac,11802,51,357
IL,Pontoon Beach,5732,6,85
IL,Posen,6028,17,150
IL,Princeton,7484,12,171
IL,Prospect Heights,16399,27,141
IL,Quincy,40841,188,1308
IL,Raleigh,352,0,6
IL,Rantoul,12933,106,384
IL,Red Bud,3613,14,34
IL,Richmond,1905,6,28
IL,Richton Park,13768,42,345
IL,Riverdale,13625,183,497
IL,River Forest,11229,15,290
IL,River Grove,10287,5,185
IL,Riverside,8908,15,155
IL,Riverton,3480,16,68
IL,Riverwoods,3656,1,23
IL,Robbins,5438,39,135
IL,Robinson,7677,30,140
IL,Rochester,3786,4,17
IL,Rockdale,1973,2,12
IL,Rock Falls,9100,21,148
IL,Rockford,150209,2065,7039
IL,Rock Island,38893,200,1006
IL,Rockton,7619,3,121
IL,Rolling Meadows,24283,23,266
IL,Romeoville,39778,30,754
IL,Roodhouse,1759,0,15
IL,Roscoe,10700,11,136
IL,Roselle,23047,10,244
IL,Rosemont,4238,15,223
IL,Round Lake,18496,27,181
IL,Round Lake Beach,28087,37,629
IL,Round Lake Heights,2728,8,32
IL,Round Lake Park,7425,16,110
IL,Roxana,1508,6,78
IL,Ruma,318,0,0
IL,Rushville,3154,2,38
IL,Salem,7349,6,360
IL,Sauget,155,10,101
IL,Sauk Village,10574,72,477
IL,Savanna,2944,17,101
IL,Schaumburg,74940,71,2176
IL,Schiller Park,11876,9,241
IL,Seneca,2330,21,72
IL,Sherman,4396,2,25
IL,Shiloh,13212,25,207
IL,Shorewood,16387,18,158
IL,Silvis,7505,25,261
IL,Skokie,65155,157,1575
IL,Sleepy Hollow,3349,1,40
IL,Smithton,3757,0,10
IL,South Barrington,4683,0,75
IL,South Beloit,7804,16,110
IL,South Chicago Heights,4162,12,107
IL,South Elgin,22295,30,293
IL,South Holland,22178,55,416
IL,South Jacksonville,3295,1,37
IL,South Pekin,1149,8,22
IL,South Roxana,2011,3,34
IL,Sparta,4295,8,135
IL,Springfield,117351,1191,5905
IL,Spring Grove,5758,1,30
IL,Stanford,593,0,1
IL,St. Anne,1246,0,28
IL,Staunton,5124,8,46
IL,St. Charles,33433,20,539
IL,Steger,9595,32,394
IL,Sterling,15183,25,612
IL,Stickney,6826,8,72
IL,Stockton,1832,4,26
IL,Stonington,921,1,3
IL,Streamwood,40340,41,663
IL,Streator,13514,20,352
IL,Stronghurst,834,0,1
IL,Summit,11579,40,257
IL,Swansea,13821,28,280
IL,Sycamore,17469,11,270
IL,Taylorville,11158,25,206
IL,Teutopolis,1551,0,9
IL,Thomasboro,1135,10,27
IL,Thornton,2347,1,30
IL,Tinley Park,57270,46,899
IL,Tolono,3467,5,31
IL,Tonica,758,0,15
IL,Tower Lakes,1276,0,3
IL,Troy,9960,14,84
IL,Tuscola,4442,26,56
IL,Urbana,41598,141,1605
IL,Valmeyer,1273,0,15
IL,Vandalia,7003,27,127
IL,Vernon Hills,25860,14,486
IL,Vienna,1462,8,19
IL,Villa Park,22095,27,441
IL,Virden,3479,10,55
IL,Virginia,1563,0,0
IL,Wamac,1165,10,108
IL,Warrensburg,1197,5,10
IL,Warrenville,13353,5,132
IL,Washington,15488,24,185
IL,Washington Park,4095,114,138
IL,Watseka,5172,13,154
IL,Wauconda,13792,4,124
IL,Waukegan,88763,405,2509
IL,Waverly,1288,4,4
IL,Wayne,2478,0,9
IL,Westchester,16812,14,233
IL,West Chicago,27659,33,388
IL,West City,661,4,80
IL,West Dundee,7411,4,233
IL,Westmont,24965,26,303
IL,Wheaton,53614,32,455
IL,Wheeling,38027,38,463
IL,White Hall,2445,7,40
IL,Willisville,620,0,0
IL,Willowbrook,8654,6,154
IL,Willow Springs,5711,4,28
IL,Wilmington,5739,5,49
IL,Winfield,9507,2,42
IL,Winnebago,3055,1,41
IL,Winnetka,12425,7,130
IL,Winthrop Harbor,6728,16,108
IL,Witt,879,0,12
IL,Wood Dale,13953,9,200
IL,Woodhull,803,0,0
IL,Wood River,10442,31,524
IL,Woodstock,25164,17,325
IL,Worth,10859,8,96
IL,Yorkville,17657,12,210
IL,Zion,24338,146,800
IN,Albion,2344,0,0
IN,Alexandria,5060,6,121
IN,Anderson,55367,200,2664
IN,Angola,8587,6,387
IN,Auburn,12802,11,249
IN,Aurora,3721,20,213
IN,Batesville,6489,26,111
IN,Bedford,13400,70,452
IN,Beech Grove,14384,33,539
IN,Berne,3964,1,31
IN,Bloomington,82415,275,2606
IN,Boonville,6197,20,197
IN,Bremen,4597,15,59
IN,Brownsburg,22908,33,385
IN,Carmel,84880,20,744
IN,Cedar Lake,11688,13,248
IN,Chesterfield,2508,1,51
IN,Clarksville,21865,122,1529
IN,Clinton,4810,16,82
IN,Columbia City,8850,4,141
IN,Columbus,45874,82,2124
IN,Crawfordsville,16055,23,533
IN,Cumberland,5218,20,192
IN,Danville,9151,30,89
IN,Decatur,9345,10,186
IN,Delphi,2887,13,62
IN,Dyer,16369,11,197
IN,East Chicago,29397,196,1462
IN,Edinburgh,4509,14,455
IN,Ellettsville,6584,25,76
IN,Elwood,8492,7,285
IN,Evansville,120284,564,5859
IN,Fairmount,2906,4,9
IN,Fishers,83358,16,826
IN,Fort Wayne,254820,949,9807
IN,Franklin,24034,69,916
IN,Garrett,6291,2,281
IN,Gary,78819,883,4719
IN,Goshen,32195,30,1098
IN,Greenfield,21175,12,407
IN,Greensburg,11675,32,59
IN,Greenwood9,53208,200,1908
IN,Griffith,16671,30,565
IN,Hagerstown,1764,3,34
IN,Hammond,79329,654,3235
IN,Hartford City,6053,6,247
IN,Highland,23372,9,758
IN,Hobart,28631,61,1537
IN,Huntington,17271,27,373
IN,Indianapolis,850220,10479,44606
IN,Jasper,15195,48,135
IN,Jeffersonville,45846,349,1678
IN,Knox,3657,6,44
IN,Kokomo,56878,185,2210
IN,Lafayette,68173,389,3416
IN,Lake Station,12335,50,581
IN,La Porte,22112,44,869
IN,Lawrenceburg,5012,8,179
IN,Ligonier,4385,0,18
IN,Linton,5359,0,182
IN,Long Beach,1173,0,11
IN,Lowell,9354,18,105
IN,Marion,29549,80,1148
IN,Martinsville,11823,7,712
IN,Merrillville,35756,99,1337
IN,Mishawaka,47967,136,2704
IN,Mooresville,9490,7,306
IN,Mount Vernon,6586,12,347
IN,Muncie,70059,288,3007
IN,Nappanee,6694,3,113
IN,New Albany,36490,87,2002
IN,New Haven,15575,24,532
IN,New Whiteland,5668,6,26
IN,North Judson,1759,6,46
IN,North Liberty,1890,0,10
IN,North Manchester,5987,11,108
IN,North Vernon,6640,22,392
IN,Peru,11219,21,133
IN,Plainfield,29644,50,886
IN,Plymouth,10034,7,316
IN,Portage,36862,70,866
IN,Porter,4883,1,86
IN,Portland,6278,1,244
IN,Rensselaer,5905,26,218
IN,Rushville,6204,10,290
IN,Schererville,28054,20,674
IN,Scottsburg,6614,28,300
IN,Sellersburg5,6150,NA,109
IN,Seymour,18655,100,1201
IN,Shelbyville5,19159,NA,448
IN,South Bend,100711,664,4890
IN,South Whitley,1728,1,32
IN,Speedway,11967,29,628
IN,Tell City,7228,4,137
IN,Terre Haute9,61215,177,3261
IN,Tipton,4983,14,143
IN,Valparaiso,32090,33,665
IN,Walkerton,2284,1,44
IN,Warsaw,13897,106,447
IN,Washington,11813,43,755
IN,Waterloo,2240,11,78
IN,Westfield,32698,21,488
IN,West Lafayette,30687,37,536
IN,Whitestown,3778,19,114
IN,Whiting,4918,4,162
IN,Winchester,4866,1,241
IN,Winona Lake,4934,12,27
IN,Zionsville,24433,2,63
IA,Adel,3990,7,70
IA,Albia,3829,8,58
IA,Algona,5495,15,60
IA,Altoona,15683,19,567
IA,Ames,61193,88,1439
IA,Anamosa,5653,2,94
IA,Ankeny,50194,43,697
IA,Bettendorf,34548,86,495
IA,Bloomfield,2591,6,17
IA,Blue Grass,1590,0,8
IA,Boone,12515,77,264
IA,Buffalo,1299,5,9
IA,Camanche,4422,5,35
IA,Carlisle,3939,5,22
IA,Carroll,9988,6,124
IA,Carter Lake,3755,19,161
IA,Cedar Falls,40213,52,495
IA,Cedar Rapids,128642,392,4707
IA,Centerville,5444,28,188
IA,Chariton,4243,18,145
IA,Charles City,7471,19,131
IA,Cherokee,5149,14,79
IA,Clarinda,5455,26,189
IA,Clear Lake,7731,6,232
IA,Clinton,26572,178,1046
IA,Clive,16467,28,338
IA,Coralville,19949,44,627
IA,Council Bluffs,62021,584,4614
IA,Cresco,3894,5,35
IA,Davenport,101834,654,4248
IA,Decorah,8103,1,64
IA,Denison,8411,4,84
IA,Des Moines,207391,1026,10015
IA,De Witt,5273,8,79
IA,Dubuque,58313,132,1641
IA,Dyersville,4093,10,57
IA,Eagle Grove,3496,14,40
IA,Eldora,2694,21,54
IA,Eldridge,5979,13,44
IA,Emmetsburg,3820,1,7
IA,Estherville,6179,24,66
IA,Evansdale,4754,21,88
IA,Fairfield,9488,13,337
IA,Forest City,3967,3,25
IA,Fort Dodge,24632,157,1106
IA,Fort Madison,11012,52,244
IA,Glenwood,5220,28,97
IA,Grinnell,9090,34,210
IA,Grundy Center,2719,0,10
IA,Hampton,4378,3,17
IA,Hawarden,2548,2,20
IA,Hiawatha,7173,4,106
IA,Humboldt,4644,4,51
IA,Indianola,14993,73,349
IA,Iowa City,70855,228,1850
IA,Iowa Falls,5117,3,138
IA,Jefferson,4233,1,64
IA,Johnston,19175,7,178
IA,Keokuk,10720,103,503
IA,Le Claire,3918,16,33
IA,Le Mars,9788,10,230
IA,Leon,1896,5,28
IA,Lisbon,2172,3,15
IA,Manchester,5103,13,89
IA,Maquoketa,6066,21,178
IA,Marengo,2485,3,3
IA,Marion,36181,56,573
IA,Marshalltown,27722,172,735
IA,Mason City,27747,30,1130
IA,Monticello,3795,9,38
IA,Mount Vernon,4609,5,39
IA,Muscatine,23027,146,539
IA,New Hampton,3542,2,22
IA,Newton,15064,41,503
IA,North Liberty,14821,44,119
IA,Norwalk,9554,10,74
IA,Oelwein,6350,34,137
IA,Orange City,6187,3,53
IA,Osage,3626,8,54
IA,Osceola,5064,10,124
IA,Oskaloosa,11570,49,230
IA,Ottumwa,24738,74,1187
IA,Pella,10418,35,153
IA,Perry,8065,29,178
IA,Pleasant Hill,9072,6,111
IA,Prairie City,1672,3,34
IA,Red Oak,5614,19,258
IA,Sergeant Bluff,4280,15,66
IA,Sheldon,5096,10,69
IA,Shenandoah,5084,3,81
IA,Sioux City,82676,324,3658
IA,Spencer,11186,19,246
IA,Spirit Lake,4955,9,200
IA,State Center,1477,0,13
IA,Storm Lake,10812,54,265
IA,Story City,3424,2,32
IA,Toledo,2257,46,43
IA,Urbandale,41499,67,670
IA,Vinton,5187,4,75
IA,Walcott,1626,3,12
IA,Washington,7346,54,81
IA,Waukee,16633,10,134
IA,Waukon,3861,1,5
IA,Waverly,10089,54,117
IA,Webster City,7830,28,176
IA,West Burlington,3027,7,313
IA,West Des Moines,60068,90,1658
IA,West Liberty,3729,7,36
IA,Williamsburg,3076,1,20
IA,Wilton,2810,3,19
IA,Windsor Heights,4880,10,192
IA,Winterset,5174,6,115
KS,Abilene,6743,11,155
KS,Andover,12188,8,364
KS,Anthony,2203,14,45
KS,Arkansas City,12322,87,503
KS,Arma,1482,5,27
KS,Atchison,10940,33,357
KS,Atwood,1215,4,26
KS,Auburn,1229,0,0
KS,Augusta,9197,33,372
KS,Baldwin City,4527,0,78
KS,Basehor,4828,0,51
KS,Baxter Springs,4139,5,105
KS,Bel Aire,6857,9,95
KS,Belleville,1928,6,69
KS,Beloit,3832,14,16
KS,Bentley,527,0,1
KS,Benton,871,0,5
KS,Bonner Springs,7450,24,352
KS,Bucklin,808,0,0
KS,Burlington,2645,4,31
KS,Burrton,899,1,16
KS,Caney,2135,1,33
KS,Chanute,9176,38,331
KS,Chase,463,0,0
KS,Clay Center,4306,16,71
KS,Clearwater,2491,3,45
KS,Coffeyville,9902,100,631
KS,Colby,5403,19,120
KS,Columbus,3232,1,94
KS,Concordia,5296,27,198
KS,Council Grove,2154,6,49
KS,Derby,23104,36,552
KS,Dodge City,28265,68,856
KS,Edwardsville,4387,13,92
KS,El Dorado,12859,52,358
KS,Ellsworth,3113,2,65
KS,Elwood,1203,4,37
KS,Enterprise,847,0,25
KS,Eudora,6196,8,78
KS,Fairway,3957,4,38
KS,Fort Scott,7887,57,308
KS,Frontenac,3466,4,94
KS,Galena,3012,15,119
KS,Garden City,27047,124,696
KS,Garnett,3297,4,104
KS,Girard,2798,4,52
KS,Goddard,4572,7,158
KS,Grandview Plaza,1809,3,36
KS,Great Bend,15896,74,636
KS,Halstead,2093,3,76
KS,Hays,21156,71,519
KS,Herington,2481,7,56
KS,Hesston,3749,2,69
KS,Hiawatha,3120,8,113
KS,Hill City,1456,3,20
KS,Hillsboro,2904,1,31
KS,Hoisington,2686,14,82
KS,Holcomb,2124,3,21
KS,Holton,3292,7,37
KS,Horton,1743,5,35
KS,Hugoton,3931,4,19
KS,Hutchinson,41909,251,2264
KS,Inman,1392,1,8
KS,Iola,5697,24,309
KS,Junction City,26491,147,638
KS,Kansas City,147618,731,7228
KS,Kingman,3169,9,40
KS,Lansing,11688,21,144
KS,Larned,4012,14,115
KS,Lawrence,90034,338,3625
KS,Leavenworth,35965,234,1089
KS,Leawood,32748,13,384
KS,Lebo,927,0,0
KS,Lenexa,49777,58,895
KS,Le Roy,553,0,1
KS,Liberal,21261,53,499
KS,Lindsborg,3468,6,64
KS,Louisburg,4268,2,73
KS,Maize,3787,6,44
KS,Maple Hill,619,0,0
KS,Marion,1862,3,41
KS,Marysville,3296,6,57
KS,McLouth,860,3,19
KS,McPherson,13245,41,597
KS,Medicine Lodge,2008,5,49
KS,Mission,9511,21,364
KS,Mission Hills,3584,0,43
KS,Mulvane,6307,8,135
KS,Neodesha,2378,9,55
KS,Newton,19196,123,664
KS,North Newton,1784,0,10
KS,Norton,2863,6,48
KS,Oakley,2063,3,21
KS,Oberlin,1716,0,20
KS,Olathe,131342,185,2273
KS,Osage City,2890,3,40
KS,Osawatomie,4368,16,96
KS,Oswego,1796,2,19
KS,Ottawa,12546,30,323
KS,Overland Park,180555,284,3530
KS,Paola,5529,18,189
KS,Park City,7475,10,195
KS,Peabody,1162,1,32
KS,Pittsburg,20395,96,1041
KS,Plainville,1920,0,12
KS,Prairie Village,21870,10,221
KS,Pratt,6900,19,282
KS,Rose Hill,3931,6,51
KS,Russell,4471,24,78
KS,Salina,48120,155,1950
KS,Scott City,3814,14,47
KS,Scranton,701,1,15
KS,Sedgwick,1702,1,18
KS,Seneca,1990,2,31
KS,Shawnee,64060,87,1087
KS,South Hutchinson,2498,7,76
KS,Spring Hill,5665,5,91
KS,St. John,1257,9,14
KS,St. Marys,2664,4,29
KS,Stockton,1343,3,11
KS,Tonganoxie,5138,13,81
KS,Topeka,128009,612,6486
KS,Ulysses,6262,13,67
KS,Valley Center,7009,15,82
KS,Victoria,1237,0,7
KS,Wa Keeney,1852,0,16
KS,Wamego,4514,4,73
KS,Waterville,664,0,1
KS,Wathena,1348,3,13
KS,Waverly,574,0,0
KS,Wellington,7945,34,450
KS,Wellsville,1840,4,22
KS,Westwood,2071,0,42
KS,Wichita,386486,3065,20802
KS,Winchester,543,0,7
KS,Yates Center,1400,0,14
KY,Adairville,840,0,0
KY,Albany,2032,0,0
KY,Alexandria,8683,5,198
KY,Anchorage,2391,0,46
KY,Ashland,21432,41,1039
KY,Auburn,1330,3,15
KY,Audubon Park,1496,0,36
KY,Barbourville,3139,8,30
KY,Bardstown,12916,13,315
KY,Bardwell,711,0,0
KY,Beattyville,1269,2,12
KY,Beaver Dam,3527,2,46
KY,Bellevue,5918,10,183
KY,Benham,484,0,3
KY,Benton,4407,2,71
KY,Berea,14331,11,374
KY,Bloomfield,858,0,7
KY,Bowling Green,61130,201,2852
KY,Brandenburg,2867,0,19
KY,Brownsville,829,1,3
KY,Burkesville,1526,2,10
KY,Burnside,828,1,34
KY,Cadiz,2624,5,95
KY,Calvert City,2540,1,27
KY,Campbellsville,10804,47,322
KY,Carlisle,1956,2,26
KY,Carrollton,3966,3,65
KY,Catlettsburg,1829,5,38
KY,Cave City,2283,5,47
KY,Central City,5891,6,82
KY,Clarkson,886,0,5
KY,Clay,1180,0,2
KY,Clay City,1062,1,16
KY,Cloverport,1159,0,0
KY,Coal Run Village,1678,0,71
KY,Cold Spring,6194,5,158
KY,Columbia,4490,5,64
KY,Corbin,7257,16,251
KY,Covington,40766,241,1845
KY,Cumberland,2151,7,9
KY,Cynthiana,6305,14,295
KY,Danville,16388,39,594
KY,Dawson Springs,2753,1,37
KY,Dayton,5368,21,239
KY,Earlington,1407,0,0
KY,Eddyville,2578,0,27
KY,Edgewood,8679,3,114
KY,Edmonton,1569,1,6
KY,Elizabethtown,29470,35,1088
KY,Elkton,2211,4,29
KY,Elsmere,8478,15,205
KY,Eminence,2478,2,33
KY,Erlanger,18432,27,555
KY,Evarts,939,0,12
KY,Falmouth,2137,2,54
KY,Ferguson,948,0,9
KY,Flatwoods,7412,1,39
KY,Flemingsburg,2702,0,47
KY,Florence,31434,62,1533
KY,Fort Mitchell,8240,4,91
KY,Fort Thomas,16227,9,194
KY,Fort Wright,5703,19,351
KY,Frankfort,27680,81,1162
KY,Franklin,8581,14,293
KY,Fulton,2310,10,71
KY,Gamaliel,369,0,0
KY,Georgetown,30611,78,1088
KY,Glasgow,14117,30,338
KY,Graymoor-Devondale,2914,1,30
KY,Grayson,4082,2,65
KY,Greensburg,2180,0,26
KY,Greenup,1176,0,4
KY,Greenville,4415,1,13
KY,Guthrie,1442,0,12
KY,Hardinsburg,2343,2,17
KY,Harlan,1677,14,90
KY,Harrodsburg,8301,16,228
KY,Hartford,2712,1,7
KY,Hawesville,1000,0,7
